# nd_base_threshold=32, factor=no
matrix,n,reorder,nnz_L,reorder_ms,factor_ms
nos4,100,NONE,805,0.0,skip
nos4,100,RCM,888,0.1,skip
nos4,100,AMD,637,0.2,skip
nos4,100,COLAMD,778,0.3,skip
nos4,100,ND,1091,76.7,skip
bcsstk04,132,NONE,3763,0.0,skip
bcsstk04,132,RCM,3633,0.6,skip
bcsstk04,132,AMD,3143,1.8,skip
bcsstk04,132,COLAMD,3622,2.4,skip
bcsstk04,132,ND,3683,400.1,skip
Kuu,7102,NONE,2993061,0.0,skip
Kuu,7102,RCM,1024794,51.2,skip
Kuu,7102,AMD,406264,468.9,skip
Kuu,7102,COLAMD,830665,3456.5,skip
Kuu,7102,ND,943463,19713.2,skip
bcsstk14,1806,NONE,190791,0.0,skip
bcsstk14,1806,RCM,178311,16.6,skip
bcsstk14,1806,AMD,116071,181.6,skip
bcsstk14,1806,COLAMD,146037,258.2,skip
bcsstk14,1806,ND,140024,4702.6,skip
s3rmt3m3,5357,NONE,2208972,0.0,skip
s3rmt3m3,5357,RCM,636993,50.2,skip
s3rmt3m3,5357,AMD,474609,1120.9,skip
s3rmt3m3,5357,COLAMD,607647,1726.6,skip
s3rmt3m3,5357,ND,481904,13514.1,skip
Pres_Poisson,14822,NONE,5061932,0.0,skip
Pres_Poisson,14822,RCM,3187081,202.9,skip
Pres_Poisson,14822,AMD,2668793,12209.3,skip
Pres_Poisson,14822,COLAMD,3415793,20040.7,skip
Pres_Poisson,14822,ND,2837046,43754.9,skip
