matrix,n,impl,reorder_ms,peak_rss_mb,nnz_L
nos4,100,qg,1.5,0.04,637
nos4,100,bitset,0.3,0.00,637
bcsstk04,132,qg,21.9,0.39,3143
bcsstk04,132,bitset,1.4,0.03,3143
bcsstk14,1806,qg,6951.1,3.57,116071
bcsstk14,1806,bitset,111.3,0.02,116071
Kuu,7102,qg,37992.6,13.37,406264
Kuu,7102,bitset,1334.7,1.04,406264
s3rmt3m3,5357,qg,70852.8,1.20,474609
s3rmt3m3,5357,bitset,910.6,0.02,474609
Pres_Poisson,14822,qg,1129282.5,25.05,2668793
Pres_Poisson,14822,bitset,9894.6,15.35,2668793
banded_5000,5000,qg,195.0,0.00,29985
banded_5000,5000,bitset,355.5,0.00,29985
banded_10000,10000,qg,690.2,0.00,59985
banded_10000,10000,bitset,1528.9,0.00,59985
banded_20000,20000,qg,2673.5,0.00,119985
banded_20000,20000,bitset,7066.9,28.94,119985
