matrix,n,reorder,nnz_L,reorder_ms,factor_ms
nos4,100,NONE,805,0.0,skip
nos4,100,RCM,888,0.2,skip
nos4,100,AMD,637,1.3,skip
nos4,100,COLAMD,778,0.3,skip
nos4,100,ND,968,103.4,skip
bcsstk04,132,NONE,3763,0.0,skip
bcsstk04,132,RCM,3633,0.8,skip
bcsstk04,132,AMD,3143,16.2,skip
bcsstk04,132,COLAMD,3622,3.2,skip
bcsstk04,132,ND,3702,475.9,skip
Kuu,7102,NONE,2993061,0.0,skip
Kuu,7102,RCM,1024794,72.7,skip
Kuu,7102,AMD,406264,27300.5,skip
Kuu,7102,COLAMD,830665,4452.4,skip
Kuu,7102,ND,935923,17733.1,skip
bcsstk14,1806,NONE,190791,0.0,skip
bcsstk14,1806,RCM,178311,13.0,skip
bcsstk14,1806,AMD,116071,5327.9,skip
bcsstk14,1806,COLAMD,146037,206.5,skip
bcsstk14,1806,ND,141091,4090.1,skip
s3rmt3m3,5357,NONE,2208972,0.0,skip
s3rmt3m3,5357,RCM,636993,35.1,skip
s3rmt3m3,5357,AMD,474609,52556.7,skip
s3rmt3m3,5357,COLAMD,607647,1191.0,skip
s3rmt3m3,5357,ND,482724,11278.7,skip
Pres_Poisson,14822,NONE,5061932,0.0,skip
Pres_Poisson,14822,RCM,3187081,151.0,skip
Pres_Poisson,14822,AMD,2668793,942451.6,skip
Pres_Poisson,14822,COLAMD,3415793,15767.9,skip
Pres_Poisson,14822,ND,2839346,47588.8,skip
