setting_id,setting_name,matrix,n,ND_nnz_L,ND_reorder_ms,AMD_nnz_L,ND_over_AMD
01,S24_default,nos4,100,968,102.7,637,1.5196
01,S24_default,bcsstk04,132,3702,502.8,3143,1.1779
01,S24_default,Kuu,7102,924385,12453.9,406264,2.2753
01,S24_default,bcsstk14,1806,131017,5277.3,116071,1.1288
01,S24_default,s3rmt3m3,5357,478890,13127.4,474609,1.0090
01,S24_default,Pres_Poisson,14822,2541734,36762.0,2668793,0.9524
02,HCC_only,nos4,100,901,341.3,637,1.4144
02,HCC_only,bcsstk04,132,3708,984.2,3143,1.1798
02,HCC_only,Kuu,7102,1003293,13871.1,406264,2.4696
02,HCC_only,bcsstk14,1806,130358,5732.3,116071,1.1231
02,HCC_only,s3rmt3m3,5357,483478,11769.1,474609,1.0187
02,HCC_only,Pres_Poisson,14822,2501876,22102.4,2668793,0.9375
03,interFM_2,nos4,100,968,94.2,637,1.5196
03,interFM_2,bcsstk04,132,3702,461.7,3143,1.1779
03,interFM_2,Kuu,7102,951186,16368.1,406264,2.3413
03,interFM_2,bcsstk14,1806,128501,5192.3,116071,1.1071
03,interFM_2,s3rmt3m3,5357,486861,10519.8,474609,1.0258
03,interFM_2,Pres_Poisson,14822,2540609,29680.0,2668793,0.9520
04,interFM_3,nos4,100,968,96.6,637,1.5196
04,interFM_3,bcsstk04,132,3702,468.7,3143,1.1779
04,interFM_3,Kuu,7102,829774,12224.9,406264,2.0425
04,interFM_3,bcsstk14,1806,128375,4409.0,116071,1.1060
04,interFM_3,s3rmt3m3,5357,486881,10977.7,474609,1.0259
04,interFM_3,Pres_Poisson,14822,2582579,33380.2,2668793,0.9677
05,spectral_only,nos4,100,968,1.6,637,1.5196
05,spectral_only,bcsstk04,132,3702,3.9,3143,1.1779
05,spectral_only,Kuu,7102,708650,697.8,406264,1.7443
05,spectral_only,bcsstk14,1806,123207,117.7,116071,1.0615
05,spectral_only,s3rmt3m3,5357,485822,414.2,474609,1.0236
05,spectral_only,Pres_Poisson,14822,2541978,1846.5,2668793,0.9525
06,HCC_interFM_2,nos4,100,901,369.1,637,1.4144
06,HCC_interFM_2,bcsstk04,132,3708,974.5,3143,1.1798
06,HCC_interFM_2,Kuu,7102,981434,11085.3,406264,2.4158
06,HCC_interFM_2,bcsstk14,1806,129604,6189.7,116071,1.1166
06,HCC_interFM_2,s3rmt3m3,5357,482521,10983.0,474609,1.0167
06,HCC_interFM_2,Pres_Poisson,14822,2513323,29444.6,2668793,0.9417
07,HCC_interFM_3,nos4,100,901,301.3,637,1.4144
07,HCC_interFM_3,bcsstk04,132,3708,948.3,3143,1.1798
07,HCC_interFM_3,Kuu,7102,942504,15226.8,406264,2.3199
07,HCC_interFM_3,bcsstk14,1806,130179,6415.8,116071,1.1215
07,HCC_interFM_3,s3rmt3m3,5357,480159,11171.1,474609,1.0117
07,HCC_interFM_3,Pres_Poisson,14822,2537065,28778.0,2668793,0.9506
08,HCC_spectral,nos4,100,901,1.7,637,1.4144
08,HCC_spectral,bcsstk04,132,3708,4.1,3143,1.1798
08,HCC_spectral,Kuu,7102,719268,677.4,406264,1.7704
08,HCC_spectral,bcsstk14,1806,133616,169.6,116071,1.1512
08,HCC_spectral,s3rmt3m3,5357,482196,410.7,474609,1.0160
08,HCC_spectral,Pres_Poisson,14822,2504799,1776.7,2668793,0.9386
09,interFM_2_spectral,nos4,100,968,1.9,637,1.5196
09,interFM_2_spectral,bcsstk04,132,3702,3.6,3143,1.1779
09,interFM_2_spectral,Kuu,7102,802481,710.0,406264,1.9753
09,interFM_2_spectral,bcsstk14,1806,130710,124.6,116071,1.1261
09,interFM_2_spectral,s3rmt3m3,5357,477660,444.8,474609,1.0064
09,interFM_2_spectral,Pres_Poisson,14822,2540890,1915.2,2668793,0.9521
10,interFM_3_spectral,nos4,100,968,1.4,637,1.5196
10,interFM_3_spectral,bcsstk04,132,3702,3.7,3143,1.1779
10,interFM_3_spectral,Kuu,7102,939897,768.5,406264,2.3135
10,interFM_3_spectral,bcsstk14,1806,129877,134.6,116071,1.1189
10,interFM_3_spectral,s3rmt3m3,5357,478480,458.7,474609,1.0082
10,interFM_3_spectral,Pres_Poisson,14822,2583051,1993.5,2668793,0.9679
11,three_new_interFM_2,nos4,100,901,1.3,637,1.4144
11,three_new_interFM_2,bcsstk04,132,3708,3.8,3143,1.1798
11,three_new_interFM_2,Kuu,7102,779949,694.4,406264,1.9198
11,three_new_interFM_2,bcsstk14,1806,133317,158.3,116071,1.1486
11,three_new_interFM_2,s3rmt3m3,5357,489555,417.7,474609,1.0315
11,three_new_interFM_2,Pres_Poisson,14822,2527119,1887.0,2668793,0.9469
12,three_new_interFM_3,nos4,100,901,1.6,637,1.4144
12,three_new_interFM_3,bcsstk04,132,3708,4.2,3143,1.1798
12,three_new_interFM_3,Kuu,7102,836476,735.2,406264,2.0589
12,three_new_interFM_3,bcsstk14,1806,144914,192.3,116071,1.2485
12,three_new_interFM_3,s3rmt3m3,5357,483087,501.5,474609,1.0179
12,three_new_interFM_3,Pres_Poisson,14822,2536744,1946.6,2668793,0.9505
13,HCC_ratio200,nos4,100,901,300.8,637,1.4144
13,HCC_ratio200,bcsstk04,132,3708,973.1,3143,1.1798
13,HCC_ratio200,Kuu,7102,852921,10778.2,406264,2.0994
13,HCC_ratio200,bcsstk14,1806,130358,5813.1,116071,1.1231
13,HCC_ratio200,s3rmt3m3,5357,483478,11928.2,474609,1.0187
13,HCC_ratio200,Pres_Poisson,14822,2460009,26113.1,2668793,0.9218
14,spectral_balBdry,nos4,100,818,1.5,637,1.2841
14,spectral_balBdry,bcsstk04,132,3702,3.1,3143,1.1779
14,spectral_balBdry,Kuu,7102,645414,707.5,406264,1.5887
14,spectral_balBdry,bcsstk14,1806,117799,127.6,116071,1.0149
14,spectral_balBdry,s3rmt3m3,5357,476977,391.6,474609,1.0050
14,spectral_balBdry,Pres_Poisson,14822,2562013,1695.0,2668793,0.9600
15,full_set,nos4,100,800,1.3,637,1.2559
15,full_set,bcsstk04,132,3708,4.1,3143,1.1798
15,full_set,Kuu,7102,531799,791.5,406264,1.3090
15,full_set,bcsstk14,1806,120371,246.3,116071,1.0370
15,full_set,s3rmt3m3,5357,476733,450.9,474609,1.0045
15,full_set,Pres_Poisson,14822,2527292,1934.1,2668793,0.9470
16,interFM_3_spectral_balBdry,nos4,100,818,1.3,637,1.2841
16,interFM_3_spectral_balBdry,bcsstk04,132,3702,4.0,3143,1.1779
16,interFM_3_spectral_balBdry,Kuu,7102,662085,758.8,406264,1.6297
16,interFM_3_spectral_balBdry,bcsstk14,1806,120759,139.1,116071,1.0404
16,interFM_3_spectral_balBdry,s3rmt3m3,5357,476013,519.1,474609,1.0030
16,interFM_3_spectral_balBdry,Pres_Poisson,14822,2510991,1950.4,2668793,0.9409
